condition,Answer.condition,rating,text,response,sentence,version,Answer.time_in_minutes,adjective,workerid,trial_type,trial
friends,condition 2,4,,0,... terrible.,f,15.685933333333333,terrible,0,practice,-1
friends,condition 2,4,,0,... bad.,f,15.685933333333333,bad,0,practice,-1
friends,condition 2,4,,0,... okay.,f,15.685933333333333,okay,0,practice,-1
friends,condition 2,4,,0.77,... good.,f,15.685933333333333,good,0,practice,-1
friends,condition 2,4,,0,... amazing.,f,15.685933333333333,amazing,0,practice,-1
friends,condition 2,4,,0.22999999999999998,,f,15.685933333333333,other,0,practice,-1
friends,condition 2,2,The bear claw was ,0,... terrible.,f,15.685933333333333,terrible,0,trial,1
friends,condition 2,2,The bear claw was ,0,... bad.,f,15.685933333333333,bad,0,trial,1
friends,condition 2,2,The bear claw was ,0,... okay.,f,15.685933333333333,okay,0,trial,1
friends,condition 2,2,The bear claw was ,0.61,... good.,f,15.685933333333333,good,0,trial,1
friends,condition 2,2,The bear claw was ,0,... amazing.,f,15.685933333333333,amazing,0,trial,1
friends,condition 2,2,The bear claw was ,0.39,,f,15.685933333333333,other,0,trial,1
friends,condition 2,3,The cheesecake was ,0,... terrible.,f,15.685933333333333,terrible,0,trial,2
friends,condition 2,3,The cheesecake was ,0,... bad.,f,15.685933333333333,bad,0,trial,2
friends,condition 2,3,The cheesecake was ,0,... okay.,f,15.685933333333333,okay,0,trial,2
friends,condition 2,3,The cheesecake was ,0,... good.,f,15.685933333333333,good,0,trial,2
friends,condition 2,3,The cheesecake was ,0,... amazing.,f,15.685933333333333,amazing,0,trial,2
friends,condition 2,3,The cheesecake was ,1,,f,15.685933333333333,other,0,trial,2
friends,condition 2,6,The donuts were ,0,... terrible.,f,15.685933333333333,terrible,0,trial,3
friends,condition 2,6,The donuts were ,0,... bad.,f,15.685933333333333,bad,0,trial,3
friends,condition 2,6,The donuts were ,0.19999999999999984,... okay.,f,15.685933333333333,okay,0,trial,3
friends,condition 2,6,The donuts were ,0.45,... good.,f,15.685933333333333,good,0,trial,3
friends,condition 2,6,The donuts were ,0,... amazing.,f,15.685933333333333,amazing,0,trial,3
friends,condition 2,6,The donuts were ,0.3500000000000001,,f,15.685933333333333,other,0,trial,3
friends,condition 2,6,The chocolate cake was ,0,... terrible.,f,15.685933333333333,terrible,0,trial,4
friends,condition 2,6,The chocolate cake was ,0,... bad.,f,15.685933333333333,bad,0,trial,4
friends,condition 2,6,The chocolate cake was ,0,... okay.,f,15.685933333333333,okay,0,trial,4
friends,condition 2,6,The chocolate cake was ,0.49,... good.,f,15.685933333333333,good,0,trial,4
friends,condition 2,6,The chocolate cake was ,0,... amazing.,f,15.685933333333333,amazing,0,trial,4
friends,condition 2,6,The chocolate cake was ,0.5099999999999999,,f,15.685933333333333,other,0,trial,4
friends,condition 2,3,The chocolate chip cookies were ,0,... terrible.,f,15.685933333333333,terrible,0,trial,5
friends,condition 2,3,The chocolate chip cookies were ,0,... bad.,f,15.685933333333333,bad,0,trial,5
friends,condition 2,3,The chocolate chip cookies were ,0.09,... okay.,f,15.685933333333333,okay,0,trial,5
friends,condition 2,3,The chocolate chip cookies were ,0.55,... good.,f,15.685933333333333,good,0,trial,5
friends,condition 2,3,The chocolate chip cookies were ,0,... amazing.,f,15.685933333333333,amazing,0,trial,5
friends,condition 2,3,The chocolate chip cookies were ,0.3599999999999999,,f,15.685933333333333,other,0,trial,5
friends,condition 2,4,The red velvet cake was ,0,... terrible.,f,15.685933333333333,terrible,0,trial,6
friends,condition 2,4,The red velvet cake was ,0,... bad.,f,15.685933333333333,bad,0,trial,6
friends,condition 2,4,The red velvet cake was ,0,... okay.,f,15.685933333333333,okay,0,trial,6
friends,condition 2,4,The red velvet cake was ,0.68,... good.,f,15.685933333333333,good,0,trial,6
friends,condition 2,4,The red velvet cake was ,0,... amazing.,f,15.685933333333333,amazing,0,trial,6
friends,condition 2,4,The red velvet cake was ,0.32000000000000006,,f,15.685933333333333,other,0,trial,6
friends,condition 2,1,The blueberry lavender scone was ,0,... terrible.,f,15.685933333333333,terrible,0,trial,7
friends,condition 2,1,The blueberry lavender scone was ,0,... bad.,f,15.685933333333333,bad,0,trial,7
friends,condition 2,1,The blueberry lavender scone was ,0.74,... okay.,f,15.685933333333333,okay,0,trial,7
