rating_other,rating2,percent_window,modal2,rating1,type,Answer.condition,image,sentence1,workerid,Answer.time_in_minutes,sentence2,modal1,reverse_sent_order,condition
0,0.74,25,might,0.2600000000000001,window_2,undefined,./stim/images/prob_25_3.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.6,60,might,0.4,aisle_2,undefined,./stim/images/prob_60_2.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.78,75,might,0.21999999999999997,aisle_2,undefined,./stim/images/prob_75_2.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.19,75,might,0.8099999999999999,window_2,undefined,./stim/images/prob_75_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.54,40,might,0.4600000000000001,window_2,undefined,./stim/images/prob_40_3.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.05,90,might,0.95,window_2,undefined,./stim/images/prob_90_5.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.9299999999999999,10,might,0.07,window_2,undefined,./stim/images/prob_10_2.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.94,90,might,0.06000000000000005,aisle_2,undefined,./stim/images/prob_90_2.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.93,25,might,0.06999999999999984,window_2,undefined,./stim/images/prob_25_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.61,40,might,0.3900000000000001,window_2,undefined,./stim/images/prob_40_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.49,50,might,0.5099999999999999,window_2,undefined,./stim/images/prob_50_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,0,might,0,aisle_2,undefined,./stim/images/prob_0_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.04,10,might,0.96,aisle_2,undefined,./stim/images/prob_10_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,100,might,0,window_2,undefined,./stim/images/prob_100_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.05,25,might,0.95,aisle_2,undefined,./stim/images/prob_25_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.32,60,might,0.6799999999999999,window_2,undefined,./stim/images/prob_60_3.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,100,might,0,aisle_2,undefined,./stim/images/prob_100_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.29,60,might,0.71,window_2,undefined,./stim/images/prob_60_3.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.03,90,might,0.97,window_2,undefined,./stim/images/prob_90_5.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.13,40,might,0.87,aisle_2,undefined,./stim/images/prob_40_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,100,might,0,window_2,undefined,./stim/images/prob_100_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,0,might,0,aisle_2,undefined,./stim/images/prob_0_3.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.24,50,might,0.7599999999999999,aisle_2,undefined,./stim/images/prob_50_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.11,75,might,0.8899999999999999,window_2,undefined,./stim/images/prob_75_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.98,10,might,0.02,window_2,undefined,./stim/images/prob_10_5.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.08,25,might,0.9199999999999999,aisle_2,undefined,./stim/images/prob_25_2.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.09,40,might,0.9099999999999999,aisle_2,undefined,./stim/images/prob_40_5.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.06,10,might,0.94,aisle_2,undefined,./stim/images/prob_10_1.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,0,might,0,window_2,undefined,./stim/images/prob_0_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.85,75,might,0.1499999999999999,aisle_2,undefined,./stim/images/prob_75_3.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,100,might,0,aisle_2,undefined,./stim/images/prob_100_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.92,60,might,0.07999999999999985,aisle_2,undefined,./stim/images/prob_60_4.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.58,50,might,0.41999999999999993,window_2,undefined,./stim/images/prob_50_2.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.95,90,might,0.05,aisle_2,undefined,./stim/images/prob_90_2.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
1,0,0,might,0,window_2,undefined,./stim/images/prob_0_5.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
0,0.47,50,might,0.52,aisle_2,undefined,./stim/images/prob_50_5.png,You'll probably get one.,0,11.336616666666666,You might get one.,probably,1,2
