Answer.condition,image,workerid,modal1,sentence2,type,rating_other,rating2,percent_window,reverse_sent_order,Answer.time_in_minutes,modal2,rating1,condition,sentence1
undefined,./stim/images/prob_40_3.png,0,probably,You might get one.,aisle_1,0,0,40,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_75_1.png,0,probably,You might get one.,window_1,0,0,75,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_75_2.png,0,probably,You might get one.,aisle_1,0,1,75,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_100_5.png,0,probably,You might get one.,window_1,1,0,100,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_50_2.png,0,probably,You might get one.,window_1,0,1,50,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_0_1.png,0,probably,You might get one.,window_1,1,0,0,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_10_5.png,0,probably,You might get one.,aisle_1,0,0,10,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_50_1.png,0,probably,You might get one.,aisle_1,0,0,50,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_0_2.png,0,probably,You might get one.,aisle_1,1,0,0,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_100_2.png,0,probably,You might get one.,aisle_1,1,0,100,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_90_3.png,0,probably,You might get one.,aisle_1,0,1,90,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_75_4.png,0,probably,You might get one.,window_1,0,0,75,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_40_4.png,0,probably,You might get one.,aisle_1,0,0,40,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_25_1.png,0,probably,You might get one.,aisle_1,0,0,25,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_25_1.png,0,probably,You might get one.,window_1,0,1,25,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_100_1.png,0,probably,You might get one.,aisle_1,1,0,100,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_60_1.png,0,probably,You might get one.,aisle_1,0,1,60,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_0_5.png,0,probably,You might get one.,window_1,1,0,0,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_90_1.png,0,probably,You might get one.,window_1,0,0,90,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_10_1.png,0,probably,You might get one.,aisle_1,0,0,10,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_100_2.png,0,probably,You might get one.,window_1,1,0,100,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_60_1.png,0,probably,You might get one.,window_1,0,0,60,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_60_5.png,0,probably,You might get one.,window_1,0,0,60,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_90_1.png,0,probably,You might get one.,window_1,0,0,90,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_60_3.png,0,probably,You might get one.,aisle_1,0,1,60,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_40_3.png,0,probably,You might get one.,window_1,0,1,40,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_25_4.png,0,probably,You might get one.,window_1,0,1,25,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_10_3.png,0,probably,You might get one.,window_1,0,1,10,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_90_2.png,0,probably,You might get one.,aisle_1,0,1,90,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_0_5.png,0,probably,You might get one.,aisle_1,1,0,0,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_75_3.png,0,probably,You might get one.,aisle_1,0,1,75,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_25_2.png,0,probably,You might get one.,aisle_1,0,0,25,1,11.127016666666666,might,1,1,You'll probably get one.
undefined,./stim/images/prob_10_2.png,0,probably,You might get one.,window_1,0,1,10,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_50_5.png,0,probably,You might get one.,window_1,0,1,50,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_40_3.png,0,probably,You might get one.,window_1,0,1,40,1,11.127016666666666,might,0,1,You'll probably get one.
undefined,./stim/images/prob_50_5.png,0,probably,You might get one.,aisle_1,0,1,50,1,11.127016666666666,might,0,1,You'll probably get one.
