Answer.time_in_minutes,rating2,modal1,workerid,Answer.condition,percent_window,type,rating1,image,sentence2,sentence1,condition,modal2,reverse_sent_order,rating_other
10.77705,0,probably,0,undefined,0,window_6,0,./stim/images/prob_0_3.png,You might get one.,You'll probably get one.,6,might,1,1
10.77705,1,probably,0,undefined,10,window_6,0,./stim/images/prob_10_1.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0,probably,0,undefined,75,window_6,1,./stim/images/prob_75_2.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,1,probably,0,undefined,10,window_6,0,./stim/images/prob_10_3.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.5499999999999999,probably,0,undefined,50,window_6,0.45,./stim/images/prob_50_2.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.18999999999999984,probably,0,undefined,60,window_6,0.81,./stim/images/prob_60_5.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0,probably,0,undefined,10,aisle_6,1,./stim/images/prob_10_5.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.85,probably,0,undefined,50,aisle_6,0.15000000000000013,./stim/images/prob_50_2.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0,probably,0,undefined,40,aisle_6,1,./stim/images/prob_40_3.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0,probably,0,undefined,90,window_6,1,./stim/images/prob_90_5.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,1,probably,0,undefined,25,window_6,0,./stim/images/prob_25_5.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,1,probably,0,undefined,60,aisle_6,0,./stim/images/prob_60_3.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.26,probably,0,undefined,90,aisle_6,0,./stim/images/prob_90_1.png,You might get one.,You'll probably get one.,6,might,1,0.74
10.77705,0,probably,0,undefined,25,aisle_6,1,./stim/images/prob_25_4.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0,probably,0,undefined,0,aisle_6,0,./stim/images/prob_0_4.png,You might get one.,You'll probably get one.,6,might,1,1
10.77705,0,probably,0,undefined,90,window_6,1,./stim/images/prob_90_3.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.34,probably,0,undefined,75,aisle_6,0,./stim/images/prob_75_2.png,You might get one.,You'll probably get one.,6,might,1,0.6599999999999999
10.77705,0,probably,0,undefined,75,window_6,1,./stim/images/prob_75_5.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.18999999999999995,probably,0,undefined,10,aisle_6,0,./stim/images/prob_10_3.png,You might get one.,You'll probably get one.,6,might,1,0.81
10.77705,0,probably,0,undefined,100,aisle_6,0,./stim/images/prob_100_4.png,You might get one.,You'll probably get one.,6,might,1,1
10.77705,0,probably,0,undefined,100,aisle_6,0,./stim/images/prob_100_3.png,You might get one.,You'll probably get one.,6,might,1,1
10.77705,0,probably,0,undefined,25,aisle_6,1,./stim/images/prob_25_1.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.47,probably,0,undefined,50,aisle_6,0.53,./stim/images/prob_50_5.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.09999999999999987,probably,0,undefined,90,aisle_6,0,./stim/images/prob_90_5.png,You might get one.,You'll probably get one.,6,might,1,0.9
10.77705,1,probably,0,undefined,50,window_6,0,./stim/images/prob_50_1.png,You might get one.,You'll probably get one.,6,might,1,0
10.77705,0.31,probably,0,undefined,25,window_6,0,./stim/images/prob_25_3.png,You might get one.,You'll probably get one.,6,might,1,0.69
10.77705,0.36,probably,0,undefined,40,window_6,0,./stim/images/prob_40_3.png,You might get one.,You'll probably get one.,6,might,1,0.6400000000000001
10.77705,0,probably,0,undefined,100,window_6,0,./stim/images/prob_100_4.png,You might get one.,You'll probably get one.,6,might,1,1
10.77705,0.33,probably,0,undefined,75,aisle_6,0,./stim/images/prob_75_2.png,You might get one.,You'll probably get one.,6,might,1,0.6699999999999999
10.77705,0,probably,0,undefined,0,window_6,0,./stim/images/prob_0_5.png,You might get one.,You'll probably get one.,6,might,1,1
10.77705,0.48,probably,0,undefined,40,window_6,0,./stim/images/prob_40_2.png,You might get one.,You'll probably get one.,6,might,1,0.52
