image,Answer.condition,percent_window,sentence2,rating1,rating_other,type,modal2,modal1,Answer.time_in_minutes,reverse_sent_order,rating2,condition,workerid,sentence1
./stim/images/prob_0_5.png,undefined,0,You might get one.,0,1,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_10_2.png,undefined,10,You might get one.,0,0.6699999999999999,window_4,might,probably,7.860033333333333,0,0.33,4,0,You'll probably get one.
./stim/images/prob_50_4.png,undefined,50,You might get one.,1,0,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_25_1.png,undefined,25,You might get one.,1,0,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_10_4.png,undefined,10,You might get one.,1,0,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_0_3.png,undefined,0,You might get one.,0,1,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_0_1.png,undefined,0,You might get one.,0,1,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_60_5.png,undefined,60,You might get one.,0,0,aisle_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_90_2.png,undefined,90,You might get one.,0,0,aisle_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_90_1.png,undefined,90,You might get one.,0,0,aisle_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_0_1.png,undefined,0,You might get one.,1,0,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_100_4.png,undefined,100,You might get one.,1,0,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_100_3.png,undefined,100,You might get one.,0,1,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_40_3.png,undefined,40,You might get one.,0,0,window_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_75_4.png,undefined,75,You might get one.,0,0,aisle_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_50_1.png,undefined,50,You might get one.,1,0,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_90_3.png,undefined,90,You might get one.,1,0,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_50_2.png,undefined,50,You might get one.,1,0,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_100_5.png,undefined,100,You might get one.,0,1,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_75_3.png,undefined,75,You might get one.,1,0,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_100_3.png,undefined,100,You might get one.,0,1,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_40_2.png,undefined,40,You might get one.,0,0,window_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_25_2.png,undefined,25,You might get one.,0,0,window_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_75_4.png,undefined,75,You might get one.,0,0,aisle_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_60_4.png,undefined,60,You might get one.,1,0,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_60_4.png,undefined,60,You might get one.,1,0,window_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
./stim/images/prob_10_5.png,undefined,10,You might get one.,0,0,window_4,might,probably,7.860033333333333,0,1,4,0,You'll probably get one.
./stim/images/prob_10_1.png,undefined,10,You might get one.,1,0,aisle_4,might,probably,7.860033333333333,0,0,4,0,You'll probably get one.
