reverse_sent_order,Answer.condition,percent_window,rating_other,condition,modal1,workerid,image,rating1,sentence1,modal2,type,sentence2,rating2,Answer.time_in_minutes
1,undefined,50,0,2,probably,0,./stim/images/prob_50_4.png,0.79,You'll probably get one.,might,aisle_2,You might get one.,0.21,7.8647833333333335
1,undefined,100,0,2,probably,0,./stim/images/prob_100_2.png,1,You'll probably get one.,might,window_2,You might get one.,0,7.8647833333333335
1,undefined,25,0,2,probably,0,./stim/images/prob_25_3.png,0.83,You'll probably get one.,might,aisle_2,You might get one.,0.16999999999999993,7.8647833333333335
1,undefined,50,0,2,probably,0,./stim/images/prob_50_1.png,0.5599999999999999,You'll probably get one.,might,window_2,You might get one.,0.44,7.8647833333333335
1,undefined,40,0,2,probably,0,./stim/images/prob_40_4.png,0.37,You'll probably get one.,might,window_2,You might get one.,0.63,7.8647833333333335
1,undefined,40,0,2,probably,0,./stim/images/prob_40_4.png,0.76,You'll probably get one.,might,aisle_2,You might get one.,0.2400000000000001,7.8647833333333335
1,undefined,40,0,2,probably,0,./stim/images/prob_40_2.png,0.8,You'll probably get one.,might,aisle_2,You might get one.,0.19999999999999984,7.8647833333333335
1,undefined,100,1,2,probably,0,./stim/images/prob_100_1.png,0,You'll probably get one.,might,aisle_2,You might get one.,0,7.8647833333333335
1,undefined,90,0,2,probably,0,./stim/images/prob_90_2.png,0.92,You'll probably get one.,might,window_2,You might get one.,0.07999999999999985,7.8647833333333335
1,undefined,100,1,2,probably,0,./stim/images/prob_100_3.png,0,You'll probably get one.,might,aisle_2,You might get one.,0,7.8647833333333335
1,undefined,50,0,2,probably,0,./stim/images/prob_50_5.png,0.34999999999999987,You'll probably get one.,might,window_2,You might get one.,0.65,7.8647833333333335
1,undefined,50,0,2,probably,0,./stim/images/prob_50_4.png,0.42000000000000004,You'll probably get one.,might,aisle_2,You might get one.,0.58,7.8647833333333335
1,undefined,60,0,2,probably,0,./stim/images/prob_60_4.png,0.77,You'll probably get one.,might,window_2,You might get one.,0.22999999999999998,7.8647833333333335
1,undefined,75,0,2,probably,0,./stim/images/prob_75_2.png,0.8,You'll probably get one.,might,window_2,You might get one.,0.19999999999999984,7.8647833333333335
1,undefined,75,0,2,probably,0,./stim/images/prob_75_2.png,0.78,You'll probably get one.,might,window_2,You might get one.,0.21999999999999997,7.8647833333333335
1,undefined,75,0,2,probably,0,./stim/images/prob_75_3.png,0.18000000000000016,You'll probably get one.,might,aisle_2,You might get one.,0.82,7.8647833333333335
1,undefined,0,1,2,probably,0,./stim/images/prob_0_2.png,0,You'll probably get one.,might,window_2,You might get one.,0,7.8647833333333335
1,undefined,0,1,2,probably,0,./stim/images/prob_0_1.png,0,You'll probably get one.,might,aisle_2,You might get one.,0,7.8647833333333335
1,undefined,90,0,2,probably,0,./stim/images/prob_90_4.png,0,You'll probably get one.,might,aisle_2,You might get one.,1,7.8647833333333335
1,undefined,75,0,2,probably,0,./stim/images/prob_75_3.png,0.17999999999999994,You'll probably get one.,might,aisle_2,You might get one.,0.82,7.8647833333333335
1,undefined,10,0,2,probably,0,./stim/images/prob_10_4.png,0,You'll probably get one.,might,window_2,You might get one.,1,7.8647833333333335
1,undefined,10,0,2,probably,0,./stim/images/prob_10_2.png,0,You'll probably get one.,might,window_2,You might get one.,1,7.8647833333333335
1,undefined,10,0,2,probably,0,./stim/images/prob_10_5.png,0.87,You'll probably get one.,might,aisle_2,You might get one.,0.1299999999999999,7.8647833333333335
1,undefined,60,0,2,probably,0,./stim/images/prob_60_5.png,0.3899999999999999,You'll probably get one.,might,aisle_2,You might get one.,0.61,7.8647833333333335
1,undefined,60,0,2,probably,0,./stim/images/prob_60_5.png,0.25,You'll probably get one.,might,aisle_2,You might get one.,0.75,7.8647833333333335
1,undefined,100,1,2,probably,0,./stim/images/prob_100_3.png,0,You'll probably get one.,might,window_2,You might get one.,0,7.8647833333333335
1,undefined,90,0,2,probably,0,./stim/images/prob_90_3.png,0.87,You'll probably get one.,might,window_2,You might get one.,0.1299999999999999,7.8647833333333335
1,undefined,10,0,2,probably,0,./stim/images/prob_10_1.png,0.9,You'll probably get one.,might,aisle_2,You might get one.,0.09999999999999987,7.8647833333333335
1,undefined,60,0,2,probably,0,./stim/images/prob_60_3.png,0.64,You'll probably get one.,might,window_2,You might get one.,0.36,7.8647833333333335
1,undefined,90,0,2,probably,0,./stim/images/prob_90_4.png,0,You'll probably get one.,might,aisle_2,You might get one.,1,7.8647833333333335
1,undefined,25,0,2,probably,0,./stim/images/prob_25_5.png,1,You'll probably get one.,might,aisle_2,You might get one.,0,7.8647833333333335
1,undefined,25,0,2,probably,0,./stim/images/prob_25_3.png,0.17999999999999994,You'll probably get one.,might,window_2,You might get one.,0.82,7.8647833333333335
1,undefined,40,0,2,probably,0,./stim/images/prob_40_3.png,0.22999999999999987,You'll probably get one.,might,window_2,You might get one.,0.77,7.8647833333333335
1,undefined,0,1,2,probably,0,./stim/images/prob_0_1.png,0,You'll probably get one.,might,aisle_2,You might get one.,0,7.8647833333333335
1,undefined,25,0,2,probably,0,./stim/images/prob_25_5.png,0.15000000000000002,You'll probably get one.,might,window_2,You might get one.,0.85,7.8647833333333335
1,undefined,0,1,2,probably,0,./stim/images/prob_0_4.png,0,You'll probably get one.,might,window_2,You might get one.,0,7.8647833333333335
