Answer.condition,reverse_sent_order,sentence1,rating1,modal2,modal1,percent_window,type,rating2,sentence2,rating_other,condition,image,workerid,Answer.time_in_minutes
undefined,0,You'll probably get one.,0,might,probably,25,window_1,1,You might get one.,0,1,./stim/images/prob_25_4.png,0,14.7583
undefined,0,You'll probably get one.,0.9,might,probably,60,window_1,0.09999999999999998,You might get one.,0,1,./stim/images/prob_60_3.png,0,14.7583
undefined,0,You'll probably get one.,1,might,probably,40,aisle_1,0,You might get one.,0,1,./stim/images/prob_40_2.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,25,window_1,1,You might get one.,0,1,./stim/images/prob_25_2.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,100,aisle_1,0.04000000000000015,You might get one.,0.96,1,./stim/images/prob_100_4.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,100,aisle_1,0,You might get one.,1,1,./stim/images/prob_100_5.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,50,aisle_1,1,You might get one.,0,1,./stim/images/prob_50_3.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,50,window_1,1,You might get one.,0,1,./stim/images/prob_50_4.png,0,14.7583
undefined,0,You'll probably get one.,0.19999999999999996,might,probably,40,aisle_1,0.8,You might get one.,0,1,./stim/images/prob_40_5.png,0,14.7583
undefined,0,You'll probably get one.,1,might,probably,0,aisle_1,0,You might get one.,0,1,./stim/images/prob_0_1.png,0,14.7583
undefined,0,You'll probably get one.,1,might,probably,75,window_1,0,You might get one.,0,1,./stim/images/prob_75_3.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,90,aisle_1,0.25,You might get one.,0.75,1,./stim/images/prob_90_1.png,0,14.7583
undefined,0,You'll probably get one.,1,might,probably,25,aisle_1,0,You might get one.,0,1,./stim/images/prob_25_5.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,10,window_1,0.19,You might get one.,0.8099999999999999,1,./stim/images/prob_10_3.png,0,14.7583
undefined,0,You'll probably get one.,1,might,probably,100,window_1,0,You might get one.,0,1,./stim/images/prob_100_1.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,75,aisle_1,1,You might get one.,0,1,./stim/images/prob_75_2.png,0,14.7583
undefined,0,You'll probably get one.,1,might,probably,25,aisle_1,0,You might get one.,0,1,./stim/images/prob_25_3.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,60,aisle_1,1,You might get one.,0,1,./stim/images/prob_60_3.png,0,14.7583
undefined,0,You'll probably get one.,0,might,probably,0,window_1,0,You might get one.,1,1,./stim/images/prob_0_3.png,0,14.7583
undefined,0,You'll probably get one.,1,might,probably,90,window_1,0,You might get one.,0,1,./stim/images/prob_90_5.png,0,14.7583
