rating2,modal2,percent_window,Answer.time_in_minutes,modal1,sentence2,type,image,rating_other,condition,reverse_sent_order,workerid,Answer.condition,rating1,sentence1
0,might,100,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_100_2.png,1,4,1,0,undefined,0,You'll probably get one.
0,might,10,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_10_1.png,0,4,1,0,undefined,1,You'll probably get one.
1,might,40,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_40_5.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,40,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_40_5.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,60,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_60_1.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,75,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_75_1.png,0,4,1,0,undefined,0,You'll probably get one.
0,might,0,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_0_5.png,1,4,1,0,undefined,0,You'll probably get one.
0,might,100,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_100_2.png,1,4,1,0,undefined,0,You'll probably get one.
1,might,25,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_25_5.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,60,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_60_4.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,50,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_50_3.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,50,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_50_2.png,0,4,1,0,undefined,0,You'll probably get one.
0,might,90,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_90_1.png,0,4,1,0,undefined,1,You'll probably get one.
1,might,75,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_75_5.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,40,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_40_4.png,0,4,1,0,undefined,0,You'll probably get one.
0,might,100,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_100_4.png,1,4,1,0,undefined,0,You'll probably get one.
1,might,50,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_50_2.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,60,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_60_4.png,0,4,1,0,undefined,0,You'll probably get one.
0,might,10,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_10_2.png,0,4,1,0,undefined,1,You'll probably get one.
0,might,10,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_10_2.png,0,4,1,0,undefined,1,You'll probably get one.
0,might,25,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_25_1.png,0,4,1,0,undefined,1,You'll probably get one.
1,might,40,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_40_5.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,90,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_90_2.png,0,4,1,0,undefined,0,You'll probably get one.
0,might,40,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_40_1.png,0,4,1,0,undefined,1,You'll probably get one.
0,might,75,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_75_5.png,0,4,1,0,undefined,1,You'll probably get one.
1,might,90,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_90_1.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,10,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_10_3.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,25,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_25_1.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,25,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_25_1.png,0,4,1,0,undefined,0,You'll probably get one.
1,might,60,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_60_1.png,0,4,1,0,undefined,0,You'll probably get one.
0,might,0,4.7725333333333335,probably,You might get one.,aisle_4,./stim/images/prob_0_4.png,1,4,1,0,undefined,0,You'll probably get one.
0,might,0,4.7725333333333335,probably,You might get one.,window_4,./stim/images/prob_0_3.png,1,4,1,0,undefined,0,You'll probably get one.
