modal1,rating_other,percent_window,condition,rating2,image,Answer.time_in_minutes,sentence2,workerid,type,sentence1,reverse_sent_order,modal2,Answer.condition,rating1
probably,2.220446049250313e-16,25,5,0.86,./stim/images/prob_25_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.1399999999999999
probably,0,90,5,0.15000000000000002,./stim/images/prob_90_5.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.85
probably,0.95,100,5,0.02,./stim/images/prob_100_5.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.03
probably,2.220446049250313e-16,40,5,0.86,./stim/images/prob_40_5.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.1399999999999999
probably,0,50,5,0.9,./stim/images/prob_50_2.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.09999999999999998
probably,0,90,5,0.04000000000000015,./stim/images/prob_90_4.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.96
probably,1,100,5,0,./stim/images/prob_100_5.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0
probably,0,40,5,0.95,./stim/images/prob_40_2.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.050000000000000044
probably,0,50,5,0.95,./stim/images/prob_50_2.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.05
probably,0,25,5,0.10999999999999999,./stim/images/prob_25_5.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.89
probably,0,90,5,0.050000000000000044,./stim/images/prob_90_4.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.95
probably,2.220446049250313e-16,10,5,0.029999999999999916,./stim/images/prob_10_5.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.97
probably,0,40,5,0.97,./stim/images/prob_40_1.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.030000000000000027
probably,0,25,5,0.97,./stim/images/prob_25_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.03
probably,1.1102230246251565e-16,60,5,0.96,./stim/images/prob_60_3.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.039999999999999925
probably,0,10,5,0.04000000000000015,./stim/images/prob_10_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.96
probably,2.220446049250313e-16,75,5,0.039999999999999925,./stim/images/prob_75_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.96
probably,1,0,5,0,./stim/images/prob_0_4.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0
probably,2.220446049250313e-16,75,5,0.97,./stim/images/prob_75_3.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.029999999999999916
probably,0,25,5,0.050000000000000044,./stim/images/prob_25_5.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.95
probably,0,60,5,0.06000000000000005,./stim/images/prob_60_2.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.94
probably,1,100,5,0,./stim/images/prob_100_4.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0
probably,0,90,5,0.050000000000000044,./stim/images/prob_90_4.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.95
probably,0,60,5,0.94,./stim/images/prob_60_3.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.06000000000000005
probably,0,10,5,0.040000000000000036,./stim/images/prob_10_3.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.96
probably,1.1102230246251565e-16,50,5,0.9,./stim/images/prob_50_3.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.09999999999999998
probably,1,100,5,0,./stim/images/prob_100_2.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0
probably,1,0,5,1.1102230246251565e-16,./stim/images/prob_0_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0
probably,2.220446049250313e-16,40,5,0.95,./stim/images/prob_40_1.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.04999999999999993
probably,1.1102230246251565e-16,60,5,0.12,./stim/images/prob_60_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.88
probably,0,50,5,0.92,./stim/images/prob_50_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.07999999999999996
probably,1,0,5,0,./stim/images/prob_0_4.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,1.1102230246251565e-16
probably,1,0,5,0,./stim/images/prob_0_4.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0
probably,0,75,5,0.030000000000000027,./stim/images/prob_75_4.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.97
probably,0,10,5,0.020000000000000018,./stim/images/prob_10_3.png,19.414533333333335,You might get one.,0,window_5,You'll probably get one.,1,might,undefined,0.98
probably,1.1102230246251565e-16,75,5,0.94,./stim/images/prob_75_3.png,19.414533333333335,You might get one.,0,aisle_5,You'll probably get one.,1,might,undefined,0.06000000000000005
probably,0.83,10,5,0.16999999999999993,./stim/images/prob_10_3.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,1.1102230246251565e-16
probably,0,25,5,0.18000000000000016,./stim/images/prob_25_4.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.82
probably,0.75,10,5,0.25,./stim/images/prob_10_2.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0
probably,0.42000000000000015,50,5,0.49,./stim/images/prob_50_1.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.09
probably,0,25,5,0.2,./stim/images/prob_25_2.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.7999999999999999
probably,0.2400000000000001,40,5,0.57,./stim/images/prob_40_1.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.19
probably,0,75,5,0.18,./stim/images/prob_75_5.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.82
probably,0.20999999999999996,60,5,0.79,./stim/images/prob_60_2.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,0.25,75,5,0.75,./stim/images/prob_75_1.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,1,0,5,0,./stim/images/prob_0_5.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,0.84,90,5,0.16000000000000014,./stim/images/prob_90_4.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0
probably,0.1399999999999999,60,5,0.76,./stim/images/prob_60_5.png,30.69865,You might get one.,1,aisle_5,You'll probably get one.,0,might,undefined,0.1
probably,0.029999999999999916,60,5,0.91,./stim/images/prob_60_4.png,30.69865,You might get one.,1,window_5,You'll probably get one.,0,might,undefined,0.06
