workerid,sentence2,modal2,Answer.time_in_minutes,condition,modal1,reverse_sent_order,sentence1,Answer.condition,type,rating2,rating1,percent_window,image,rating_other
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.63,0,90,./stim/images/prob_90_4.png,0.3699999999999999
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.49,0,75,./stim/images/prob_75_4.png,0.5100000000000001
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.65,0,60,./stim/images/prob_60_5.png,0.34999999999999987
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0.82,10,./stim/images/prob_10_4.png,0.18000000000000016
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.52,0,50,./stim/images/prob_50_5.png,0.48
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.51,0,40,./stim/images/prob_40_5.png,0.4899999999999999
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.5,0,40,./stim/images/prob_40_4.png,0.5000000000000001
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0.71,100,./stim/images/prob_100_5.png,0.29000000000000004
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0,100,./stim/images/prob_100_4.png,1
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0.78,75,./stim/images/prob_75_2.png,0.21999999999999986
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.42,0,25,./stim/images/prob_25_4.png,0.58
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0.65,25,./stim/images/prob_25_3.png,0.34999999999999987
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.5,0,75,./stim/images/prob_75_4.png,0.4999999999999999
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0,0,./stim/images/prob_0_5.png,1
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.19,0,10,./stim/images/prob_10_4.png,0.81
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0,100,./stim/images/prob_100_5.png,1
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0,0,./stim/images/prob_0_3.png,1
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0.92,90,./stim/images/prob_90_5.png,0.07999999999999985
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0.87,10,./stim/images/prob_10_5.png,0.1299999999999999
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.29,0,25,./stim/images/prob_25_2.png,0.71
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.5,0,60,./stim/images/prob_60_2.png,0.5
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.56,0,50,./stim/images/prob_50_5.png,0.44000000000000006
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.55,0,50,./stim/images/prob_50_3.png,0.44999999999999984
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.48,0,50,./stim/images/prob_50_3.png,0.52
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.48,0.06999999999999995,60,./stim/images/prob_60_5.png,0.44999999999999996
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.5,0,60,./stim/images/prob_60_3.png,0.5000000000000001
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0.59,75,./stim/images/prob_75_3.png,0.41000000000000003
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0,0,./stim/images/prob_0_3.png,1
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0.84,90,./stim/images/prob_90_2.png,0.16000000000000003
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0,0.61,25,./stim/images/prob_25_1.png,0.3899999999999999
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0,100,./stim/images/prob_100_2.png,1
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.49,0,40,./stim/images/prob_40_3.png,0.5099999999999999
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0,0,0,./stim/images/prob_0_5.png,1
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,window_6,0.47,0,10,./stim/images/prob_10_5.png,0.5299999999999999
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.36,0,90,./stim/images/prob_90_5.png,0.64
0,You might get one.,might,18.739083333333333,6,probably,0,You'll probably get one.,undefined,aisle_6,0.07999999999999974,0.53,40,./stim/images/prob_40_3.png,0.39
