modal1,rating1,modal2,reverse_sent_order,valence,type,Answer.time_in_minutes,Answer.condition,sentence2,image,sentence1,percent_middle,rating_other,workerid,rating2
,0.07,,,,test,13.234033333333333,undefined,You might get a window seat,./stim/images/4_window_40_v1.png,You'll probably get a window seat,,0,0,0.9299999999999999
probably,0.06000000000000005,might,1,negative,aisle-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/29_aisle_10_v4.png,You'll probably get a middle seat,10,0,0,0.94
probably,0.10999999999999999,might,1,positive,aisle-positive,13.234033333333333,undefined,You might get an aisle seat,./stim/images/21_aisle_25_v10.png,You'll probably get an aisle seat,25,0,0,0.89
probably,0.91,might,1,negative,aisle-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/32_aisle_50_v1.png,You'll probably get a middle seat,50,0,0,0.08999999999999997
probably,0.91,might,1,negative,window-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/13_window_40_v6.png,You'll probably get a middle seat,40,0,0,0.09000000000000008
probably,0.08000000000000007,might,1,positive,window-positive,13.234033333333333,undefined,You might get a window seat,./stim/images/5_window_50_v6.png,You'll probably get a window seat,50,0,0,0.92
probably,0,might,1,negative,aisle-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/36_aisle_100_v9.png,You'll probably get a middle seat,100,1,0,0
probably,0.51,might,1,negative,window-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/18_window_100_v4.png,You'll probably get a middle seat,100,0.49,0,0
probably,0.94,might,1,negative,window-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/14_window_50_v6.png,You'll probably get a middle seat,50,0,0,0.06000000000000005
probably,0.66,might,1,negative,aisle-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/30_aisle_25_v6.png,You'll probably get a middle seat,25,0,0,0.33999999999999997
probably,0,might,1,positive,aisle-positive,13.234033333333333,undefined,You might get an aisle seat,./stim/images/23_aisle_50_v3.png,You'll probably get an aisle seat,50,1,0,0
probably,0,might,1,negative,window-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/11_window_10_v2.png,You'll probably get a middle seat,10,1,0,0
probably,0.98,might,1,negative,aisle-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/35_aisle_90_v6.png,You'll probably get a middle seat,90,0,0,0.02
probably,0,might,1,negative,window-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/10_window_0_v7.png,You'll probably get a middle seat,0,1,0,0
probably,0.8799999999999999,might,1,positive,aisle-positive,13.234033333333333,undefined,You might get an aisle seat,./stim/images/25_aisle_75_v10.png,You'll probably get an aisle seat,75,0,0,0.12
probably,0.9299999999999999,might,1,positive,aisle-positive,13.234033333333333,undefined,You might get an aisle seat,./stim/images/24_aisle_60_v3.png,You'll probably get an aisle seat,60,0,0,0.07
probably,0.8700000000000001,might,1,negative,aisle-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/33_aisle_60_v3.png,You'll probably get a middle seat,60,0,0,0.13
probably,0.81,might,1,negative,window-negative,13.234033333333333,undefined,You might get a middle seat,./stim/images/16_window_75_v9.png,You'll probably get a middle seat,75,0,0,0.19
probably,0.17,might,1,positive,aisle-positive,13.234033333333333,undefined,You might get an aisle seat,./stim/images/20_aisle_10_v5.png,You'll probably get an aisle seat,10,0.75,0,0.08
probably,0,might,1,positive,window-positive,13.234033333333333,undefined,You might get a window seat,./stim/images/4_window_40_v6.png,You'll probably get a window seat,40,0,0,1
probably,0,might,1,positive,window-positive,13.234033333333333,undefined,You might get a window seat,./stim/images/1_window_0_v1.png,You'll probably get a window seat,0,1,0,0
probably,0,might,1,positive,window-positive,13.234033333333333,undefined,You might get a window seat,./stim/images/7_window_75_v7.png,You'll probably get a window seat,75,0,0,1
probably,0,might,1,positive,window-positive,13.234033333333333,undefined,You might get a window seat,./stim/images/8_window_90_v8.png,You'll probably get a window seat,90,0.8799999999999999,0,0.12
probably,0,might,1,positive,aisle-positive,13.234033333333333,undefined,You might get an aisle seat,./stim/images/22_aisle_40_v6.png,You'll probably get an aisle seat,40,0.8700000000000001,0,0.13
