rating_other,rating1,reverse_sent_order,modal2,image,type,sentence1,Answer.condition,condition,sentence2,percent_window,workerid,Answer.time_in_minutes,modal1,rating2
1,0,0,might,./stim/images/prob_100_1.png,window_4,You'll probably get one.,undefined,4,You might get one.,100,0,13.456066666666667,probably,0
0,0,0,might,./stim/images/prob_25_3.png,window_4,You'll probably get one.,undefined,4,You might get one.,25,0,13.456066666666667,probably,1
0,1,0,might,./stim/images/prob_10_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,10,0,13.456066666666667,probably,0
1,0,0,might,./stim/images/prob_100_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,100,0,13.456066666666667,probably,0
0,0,0,might,./stim/images/prob_50_5.png,window_4,You'll probably get one.,undefined,4,You might get one.,50,0,13.456066666666667,probably,1
0,1,0,might,./stim/images/prob_75_5.png,window_4,You'll probably get one.,undefined,4,You might get one.,75,0,13.456066666666667,probably,0
0,0,0,might,./stim/images/prob_90_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,90,0,13.456066666666667,probably,1
0,0,0,might,./stim/images/prob_75_5.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,75,0,13.456066666666667,probably,1
1,0,0,might,./stim/images/prob_0_1.png,window_4,You'll probably get one.,undefined,4,You might get one.,0,0,13.456066666666667,probably,0
0,1,0,might,./stim/images/prob_75_1.png,window_4,You'll probably get one.,undefined,4,You might get one.,75,0,13.456066666666667,probably,0
0,1,0,might,./stim/images/prob_90_4.png,window_4,You'll probably get one.,undefined,4,You might get one.,90,0,13.456066666666667,probably,0
0,0,0,might,./stim/images/prob_10_2.png,window_4,You'll probably get one.,undefined,4,You might get one.,10,0,13.456066666666667,probably,1
0,0.05999999999999994,0,might,./stim/images/prob_40_5.png,window_4,You'll probably get one.,undefined,4,You might get one.,40,0,13.456066666666667,probably,0.94
1,0,0,might,./stim/images/prob_100_2.png,window_4,You'll probably get one.,undefined,4,You might get one.,100,0,13.456066666666667,probably,0
1,0,0,might,./stim/images/prob_0_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,0,0,13.456066666666667,probably,0
0,0,0,might,./stim/images/prob_75_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,75,0,13.456066666666667,probably,1
0,0,0,might,./stim/images/prob_90_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,90,0,13.456066666666667,probably,1
0,0.87,0,might,./stim/images/prob_60_3.png,window_4,You'll probably get one.,undefined,4,You might get one.,60,0,13.456066666666667,probably,0.13
0,0.85,0,might,./stim/images/prob_60_5.png,window_4,You'll probably get one.,undefined,4,You might get one.,60,0,13.456066666666667,probably,0.1499999999999999
0,0.27,0,might,./stim/images/prob_60_4.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,60,0,13.456066666666667,probably,0.73
0.010000000000000009,0.99,0,might,./stim/images/prob_10_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,10,0,13.456066666666667,probably,0
1.1102230246251565e-16,0.81,0,might,./stim/images/prob_50_1.png,window_4,You'll probably get one.,undefined,4,You might get one.,50,0,13.456066666666667,probably,0.18999999999999984
0.10999999999999988,0.89,0,might,./stim/images/prob_90_4.png,window_4,You'll probably get one.,undefined,4,You might get one.,90,0,13.456066666666667,probably,0
1,0,0,might,./stim/images/prob_100_5.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,100,0,13.456066666666667,probably,0
0,0.7599999999999999,0,might,./stim/images/prob_40_2.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,40,0,13.456066666666667,probably,0.24
0,0,0,might,./stim/images/prob_60_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,60,0,13.456066666666667,probably,1
0,0,0,might,./stim/images/prob_25_1.png,window_4,You'll probably get one.,undefined,4,You might get one.,25,0,13.456066666666667,probably,1
0,0,0,might,./stim/images/prob_40_5.png,window_4,You'll probably get one.,undefined,4,You might get one.,40,0,13.456066666666667,probably,1
1,0,0,might,./stim/images/prob_0_4.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,0,0,13.456066666666667,probably,0
0,0.21000000000000008,0,might,./stim/images/prob_40_4.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,40,0,13.456066666666667,probably,0.79
0,1,0,might,./stim/images/prob_25_5.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,25,0,13.456066666666667,probably,0
1,0,0,might,./stim/images/prob_0_1.png,window_4,You'll probably get one.,undefined,4,You might get one.,0,0,13.456066666666667,probably,0
0,1,0,might,./stim/images/prob_25_3.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,25,0,13.456066666666667,probably,0
0,0.25,0,might,./stim/images/prob_50_5.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,50,0,13.456066666666667,probably,0.75
0,0,0,might,./stim/images/prob_10_5.png,window_4,You'll probably get one.,undefined,4,You might get one.,10,0,13.456066666666667,probably,1
0,0,0,might,./stim/images/prob_50_1.png,aisle_4,You'll probably get one.,undefined,4,You might get one.,50,0,13.456066666666667,probably,1
