image,rating2,modal2,rating_other,sentence2,workerid,Answer.condition,condition,modal1,percent_window,reverse_sent_order,Answer.time_in_minutes,type,rating1,sentence1
./stim/images/prob_40_1.png,1,might,0,You might get one.,0,undefined,1,probably,40,1,11.10855,window_1,0,You'll probably get one.
./stim/images/prob_60_4.png,0,might,0,You might get one.,0,undefined,1,probably,60,1,11.10855,window_1,1,You'll probably get one.
./stim/images/prob_100_5.png,0,might,1,You might get one.,0,undefined,1,probably,100,1,11.10855,window_1,0,You'll probably get one.
./stim/images/prob_50_5.png,0.19999999999999996,might,0,You might get one.,0,undefined,1,probably,50,1,11.10855,aisle_1,0.8,You'll probably get one.
./stim/images/prob_25_5.png,1,might,0,You might get one.,0,undefined,1,probably,25,1,11.10855,window_1,0,You'll probably get one.
./stim/images/prob_50_5.png,0.48,might,0,You might get one.,0,undefined,1,probably,50,1,11.10855,window_1,0.52,You'll probably get one.
./stim/images/prob_40_4.png,0.81,might,0,You might get one.,0,undefined,1,probably,40,1,11.10855,window_1,0.18999999999999984,You'll probably get one.
./stim/images/prob_0_2.png,0,might,1,You might get one.,0,undefined,1,probably,0,1,11.10855,window_1,0,You'll probably get one.
./stim/images/prob_60_1.png,1,might,0,You might get one.,0,undefined,1,probably,60,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_0_1.png,0,might,1,You might get one.,0,undefined,1,probably,0,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_10_2.png,0,might,0,You might get one.,0,undefined,1,probably,10,1,11.10855,aisle_1,1,You'll probably get one.
./stim/images/prob_40_2.png,0,might,0,You might get one.,0,undefined,1,probably,40,1,11.10855,aisle_1,1,You'll probably get one.
./stim/images/prob_75_3.png,1,might,0,You might get one.,0,undefined,1,probably,75,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_0_5.png,0,might,1,You might get one.,0,undefined,1,probably,0,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_25_5.png,0,might,0,You might get one.,0,undefined,1,probably,25,1,11.10855,aisle_1,1,You'll probably get one.
./stim/images/prob_90_5.png,1,might,0,You might get one.,0,undefined,1,probably,90,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_90_5.png,0,might,0,You might get one.,0,undefined,1,probably,90,1,11.10855,window_1,1,You'll probably get one.
./stim/images/prob_25_5.png,0,might,0,You might get one.,0,undefined,1,probably,25,1,11.10855,aisle_1,1,You'll probably get one.
./stim/images/prob_25_3.png,1,might,0,You might get one.,0,undefined,1,probably,25,1,11.10855,window_1,0,You'll probably get one.
./stim/images/prob_75_5.png,1,might,0,You might get one.,0,undefined,1,probably,75,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_60_5.png,0,might,0,You might get one.,0,undefined,1,probably,60,1,11.10855,window_1,1,You'll probably get one.
./stim/images/prob_100_1.png,0,might,1,You might get one.,0,undefined,1,probably,100,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_100_5.png,0,might,1,You might get one.,0,undefined,1,probably,100,1,11.10855,aisle_1,0,You'll probably get one.
./stim/images/prob_10_4.png,1,might,0,You might get one.,0,undefined,1,probably,10,1,11.10855,window_1,0,You'll probably get one.
./stim/images/prob_75_1.png,0,might,0,You might get one.,0,undefined,1,probably,75,1,11.10855,window_1,1,You'll probably get one.
./stim/images/prob_75_1.png,0,might,0,You might get one.,0,undefined,1,probably,75,1,11.10855,window_1,1,You'll probably get one.
./stim/images/prob_10_3.png,1,might,0,You might get one.,0,undefined,1,probably,10,1,11.10855,window_1,0,You'll probably get one.
