reverse_sent_order,type,modal2,rating_other,Answer.condition,percent_window,rating1,sentence2,condition,workerid,rating2,sentence1,Answer.time_in_minutes,modal1,image
0,window_3,might,1,undefined,0,0,You might get one.,3,0,0,You'll probably get one.,12.428,probably,./stim/images/prob_0_5.png
0,window_3,might,1,undefined,0,0,You might get one.,3,0,0,You'll probably get one.,12.428,probably,./stim/images/prob_0_1.png
0,aisle_3,might,0.02,undefined,10,0.9199999999999999,You might get one.,3,0,0.06000000000000005,You'll probably get one.,12.428,probably,./stim/images/prob_10_5.png
0,aisle_3,might,0.05,undefined,40,0.21,You might get one.,3,0,0.7399999999999999,You'll probably get one.,12.428,probably,./stim/images/prob_40_4.png
0,aisle_3,might,0.31999999999999995,undefined,75,0.04,You might get one.,3,0,0.64,You'll probably get one.,12.428,probably,./stim/images/prob_75_2.png
0,aisle_3,might,0.99,undefined,100,0,You might get one.,3,0,0.01,You'll probably get one.,12.428,probably,./stim/images/prob_100_3.png
0,window_3,might,0,undefined,90,0.9099999999999999,You might get one.,3,0,0.09,You'll probably get one.,12.428,probably,./stim/images/prob_90_2.png
0,window_3,might,0.06000000000000005,undefined,40,0.04,You might get one.,3,0,0.8999999999999999,You'll probably get one.,12.428,probably,./stim/images/prob_40_2.png
0,aisle_3,might,1,undefined,0,0,You might get one.,3,0,0,You'll probably get one.,12.428,probably,./stim/images/prob_0_3.png
0,aisle_3,might,0.07999999999999985,undefined,75,0.04,You might get one.,3,0,0.88,You'll probably get one.,12.428,probably,./stim/images/prob_75_1.png
0,aisle_3,might,0.09000000000000008,undefined,60,0.15,You might get one.,3,0,0.76,You'll probably get one.,12.428,probably,./stim/images/prob_60_3.png
0,window_3,might,0,undefined,90,0.96,You might get one.,3,0,0.040000000000000036,You'll probably get one.,12.428,probably,./stim/images/prob_90_3.png
0,aisle_3,might,0,undefined,25,0.53,You might get one.,3,0,0.47,You'll probably get one.,12.428,probably,./stim/images/prob_25_4.png
0,aisle_3,might,1,undefined,100,0,You might get one.,3,0,0,You'll probably get one.,12.428,probably,./stim/images/prob_100_2.png
0,aisle_3,might,0.96,undefined,0,0.04,You might get one.,3,0,0,You'll probably get one.,12.428,probably,./stim/images/prob_0_5.png
0,aisle_3,might,0.32999999999999985,undefined,90,0,You might get one.,3,0,0.67,You'll probably get one.,12.428,probably,./stim/images/prob_90_5.png
0,window_3,might,1,undefined,100,0,You might get one.,3,0,0,You'll probably get one.,12.428,probably,./stim/images/prob_100_4.png
0,window_3,might,0,undefined,75,0.8700000000000001,You might get one.,3,0,0.13,You'll probably get one.,12.428,probably,./stim/images/prob_75_1.png
0,aisle_3,might,0,undefined,10,0.96,You might get one.,3,0,0.039999999999999925,You'll probably get one.,12.428,probably,./stim/images/prob_10_1.png
0,window_3,might,0.09000000000000008,undefined,25,0.02,You might get one.,3,0,0.89,You'll probably get one.,12.428,probably,./stim/images/prob_25_1.png
0,aisle_3,might,0.029999999999999916,undefined,50,0.07,You might get one.,3,0,0.9,You'll probably get one.,12.428,probably,./stim/images/prob_50_1.png
0,window_3,might,0,undefined,50,0.13,You might get one.,3,0,0.8700000000000001,You'll probably get one.,12.428,probably,./stim/images/prob_50_5.png
0,window_3,might,0,undefined,60,0.26,You might get one.,3,0,0.74,You'll probably get one.,12.428,probably,./stim/images/prob_60_3.png
0,window_3,might,0.07999999999999996,undefined,10,0.05,You might get one.,3,0,0.87,You'll probably get one.,12.428,probably,./stim/images/prob_10_1.png
0,window_3,might,0,undefined,75,0.76,You might get one.,3,0,0.24,You'll probably get one.,12.428,probably,./stim/images/prob_75_5.png
0,aisle_3,might,0,undefined,50,0.12,You might get one.,3,0,0.8799999999999999,You'll probably get one.,12.428,probably,./stim/images/prob_50_4.png
0,aisle_3,might,0,undefined,25,0.84,You might get one.,3,0,0.15999999999999992,You'll probably get one.,12.428,probably,./stim/images/prob_25_5.png
0,window_3,might,0,undefined,50,0.13,You might get one.,3,0,0.87,You'll probably get one.,12.428,probably,./stim/images/prob_50_2.png
0,window_3,might,0.09,undefined,10,0.03,You might get one.,3,0,0.8799999999999999,You'll probably get one.,12.428,probably,./stim/images/prob_10_2.png
0,window_3,might,0,undefined,60,0.19,You might get one.,3,0,0.8099999999999999,You'll probably get one.,12.428,probably,./stim/images/prob_60_3.png
0,window_3,might,1,undefined,100,0,You might get one.,3,0,0,You'll probably get one.,12.428,probably,./stim/images/prob_100_5.png
0,window_3,might,0,undefined,40,0.08999999999999997,You might get one.,3,0,0.91,You'll probably get one.,12.428,probably,./stim/images/prob_40_5.png
0,aisle_3,might,0,undefined,40,0.62,You might get one.,3,0,0.3799999999999999,You'll probably get one.,12.428,probably,./stim/images/prob_40_3.png
0,aisle_3,might,0.07,undefined,90,0,You might get one.,3,0,0.9299999999999999,You'll probably get one.,12.428,probably,./stim/images/prob_90_5.png
