image,Answer.time_in_minutes,reverse_sent_order,condition,sentence1,sentence2,modal2,Answer.condition,rating_other,workerid,modal1,type,percent_window,rating1,rating2
./stim/images/prob_40_1.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,aisle_2,40,1,0
./stim/images/prob_60_2.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,60,1,0
./stim/images/prob_100_3.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,1,0,probably,window_2,100,0,0
./stim/images/prob_50_3.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,aisle_2,50,1,0
./stim/images/prob_40_1.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,40,0,1
./stim/images/prob_0_5.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0.51,0,probably,aisle_2,0,0.49,0
./stim/images/prob_75_2.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,aisle_2,75,0,1
./stim/images/prob_50_1.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,50,1,0
./stim/images/prob_25_5.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,25,0,1
./stim/images/prob_25_3.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,25,0,1
./stim/images/prob_60_1.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,aisle_2,60,0,1
./stim/images/prob_90_2.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,90,1,0
./stim/images/prob_0_4.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,1,0,probably,window_2,0,0,0
./stim/images/prob_40_4.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,aisle_2,40,1,0
./stim/images/prob_40_3.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,40,0,1
./stim/images/prob_10_5.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,10,0,1
./stim/images/prob_10_1.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,aisle_2,10,1,0
./stim/images/prob_50_3.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,window_2,50,1,0
./stim/images/prob_60_5.png,7.83085,1,2,You'll probably get one.,You might get one.,might,undefined,0,0,probably,aisle_2,60,0,1
