type,condition,percent_window,image,sentence2,reverse_sent_order,modal2,sentence1,Answer.time_in_minutes,workerid,modal1,rating1,Answer.condition,rating2,rating_other
window_4,4,10,./stim/images/prob_10_5.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,60,./stim/images/prob_60_1.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,0,./stim/images/prob_0_5.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
aisle_4,4,90,./stim/images/prob_90_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,25,./stim/images/prob_25_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,50,./stim/images/prob_50_2.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,60,./stim/images/prob_60_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,40,./stim/images/prob_40_5.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,25,./stim/images/prob_25_5.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,0,./stim/images/prob_0_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
aisle_4,4,75,./stim/images/prob_75_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,0,./stim/images/prob_0_2.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
window_4,4,100,./stim/images/prob_100_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
aisle_4,4,50,./stim/images/prob_50_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,75,./stim/images/prob_75_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,100,./stim/images/prob_100_1.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
window_4,4,100,./stim/images/prob_100_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
aisle_4,4,10,./stim/images/prob_10_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0.9,undefined,0.09999999999999998,0
aisle_4,4,40,./stim/images/prob_40_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,90,./stim/images/prob_90_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0.27,0.73
aisle_4,4,40,./stim/images/prob_40_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,60,./stim/images/prob_60_2.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,40,./stim/images/prob_40_5.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,100,./stim/images/prob_100_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
aisle_4,4,10,./stim/images/prob_10_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,1,undefined,0,0
window_4,4,75,./stim/images/prob_75_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,10,./stim/images/prob_10_2.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0.49,0.51
window_4,4,0,./stim/images/prob_0_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,0,1
aisle_4,4,25,./stim/images/prob_25_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,50,./stim/images/prob_50_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,25,./stim/images/prob_25_2.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,60,./stim/images/prob_60_3.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
aisle_4,4,50,./stim/images/prob_50_4.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,75,./stim/images/prob_75_1.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,0,undefined,1,0
window_4,4,90,./stim/images/prob_90_2.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,1,undefined,0,0
window_4,4,90,./stim/images/prob_90_1.png,You might get one.,0,might,You'll probably get one.,9.441016666666666,0,probably,1,undefined,0,0
aisle_4,4,40,./stim/images/prob_40_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.4,undefined,0.5999999999999999,0
aisle_4,4,10,./stim/images/prob_10_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.95,undefined,0.050000000000000044,0
aisle_4,4,60,./stim/images/prob_60_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.1499999999999999,undefined,0.85,0
window_4,4,10,./stim/images/prob_10_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0.09999999999999987,0.9
window_4,4,50,./stim/images/prob_50_3.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.40000000000000013,undefined,0.6,0
window_4,4,60,./stim/images/prob_60_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.5,undefined,0.5,0
aisle_4,4,75,./stim/images/prob_75_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.1,undefined,0.15,0.75
window_4,4,50,./stim/images/prob_50_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.5,undefined,0.5,0
aisle_4,4,100,./stim/images/prob_100_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
window_4,4,90,./stim/images/prob_90_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.85,undefined,0.1499999999999999,0
window_4,4,75,./stim/images/prob_75_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.5499999999999999,undefined,0.45,0
aisle_4,4,90,./stim/images/prob_90_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
window_4,4,0,./stim/images/prob_0_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
window_4,4,0,./stim/images/prob_0_3.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
aisle_4,4,25,./stim/images/prob_25_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.75,undefined,0.25,0
window_4,4,40,./stim/images/prob_40_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0.55,0.44999999999999996
window_4,4,75,./stim/images/prob_75_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.5000000000000001,undefined,0.5,0
window_4,4,100,./stim/images/prob_100_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,1,undefined,0,0
aisle_4,4,60,./stim/images/prob_60_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.44999999999999996,undefined,0.55,0
aisle_4,4,0,./stim/images/prob_0_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,1,undefined,0,0
window_4,4,25,./stim/images/prob_25_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0.5,0.5000000000000001
aisle_4,4,10,./stim/images/prob_10_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.85,undefined,0.15000000000000002,0
window_4,4,10,./stim/images/prob_10_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
aisle_4,4,40,./stim/images/prob_40_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.1,undefined,0.6,0.29999999999999993
aisle_4,4,50,./stim/images/prob_50_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.2,undefined,0.5,0.30000000000000016
aisle_4,4,25,./stim/images/prob_25_3.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.75,undefined,0.25,0
window_4,4,100,./stim/images/prob_100_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,1,undefined,0,0
window_4,4,40,./stim/images/prob_40_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0.3,0.7000000000000001
window_4,4,60,./stim/images/prob_60_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0.65,undefined,0.34999999999999987,0
aisle_4,4,90,./stim/images/prob_90_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
aisle_4,4,100,./stim/images/prob_100_5.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
window_4,4,25,./stim/images/prob_25_2.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0.2,0.8
aisle_4,4,50,./stim/images/prob_50_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0.25,0.75
aisle_4,4,0,./stim/images/prob_0_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
window_4,4,90,./stim/images/prob_90_1.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0,1
aisle_4,4,75,./stim/images/prob_75_4.png,You might get one.,1,might,You'll probably get one.,15.074133333333334,1,probably,0,undefined,0.2,0.8
window_4,4,40,./stim/images/prob_40_3.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0.28,undefined,0.7200000000000001,0
window_4,4,60,./stim/images/prob_60_5.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0.66,undefined,0.33999999999999997,0
aisle_4,4,100,./stim/images/prob_100_2.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0,undefined,0,1
window_4,4,75,./stim/images/prob_75_3.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0.67,undefined,0.33,0
aisle_4,4,60,./stim/images/prob_60_1.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0.46,undefined,0.5399999999999999,0
window_4,4,25,./stim/images/prob_25_4.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0.15,undefined,0.8500000000000001,0
window_4,4,50,./stim/images/prob_50_5.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0.37,undefined,0.6299999999999999,0
window_4,4,90,./stim/images/prob_90_5.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0.75,undefined,0.25,0
window_4,4,10,./stim/images/prob_10_3.png,You might get one.,0,might,You'll probably get one.,12.189816666666667,2,probably,0,undefined,0.26000000000000023,0.7399999999999999
