Answer.time_in_minutes,type,percent_window,rating1,rating2,rating_other,modal2,Answer.condition,sentence2,modal1,image,condition,workerid,sentence1,reverse_sent_order
10.451733333333333,window_3,60,0.24,0.76,0,might,undefined,You might get one.,probably,./stim/images/prob_60_3.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,100,0.04000000000000015,0,0.96,might,undefined,You might get one.,probably,./stim/images/prob_100_4.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,10,0.039999999999999925,0,0.96,might,undefined,You might get one.,probably,./stim/images/prob_10_4.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,0,0,0,1,might,undefined,You might get one.,probably,./stim/images/prob_0_4.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,100,0.05999999999999994,0,0.94,might,undefined,You might get one.,probably,./stim/images/prob_100_4.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,40,0.07,0.7,0.22999999999999998,might,undefined,You might get one.,probably,./stim/images/prob_40_2.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,90,0,0.55,0.45,might,undefined,You might get one.,probably,./stim/images/prob_90_4.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,25,0.73,0.07,0.19999999999999984,might,undefined,You might get one.,probably,./stim/images/prob_25_3.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,50,0,0.88,0.1200000000000001,might,undefined,You might get one.,probably,./stim/images/prob_50_2.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,25,0,0.79,0.20999999999999996,might,undefined,You might get one.,probably,./stim/images/prob_25_4.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,100,0,0,1,might,undefined,You might get one.,probably,./stim/images/prob_100_3.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,40,0,0.81,0.18999999999999995,might,undefined,You might get one.,probably,./stim/images/prob_40_2.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,0,0.84,0,0.16000000000000014,might,undefined,You might get one.,probably,./stim/images/prob_0_4.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,0,0.06,0,0.94,might,undefined,You might get one.,probably,./stim/images/prob_0_2.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,50,0,0.82,0.17999999999999994,might,undefined,You might get one.,probably,./stim/images/prob_50_4.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,10,0.85,0,0.15000000000000002,might,undefined,You might get one.,probably,./stim/images/prob_10_5.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,50,0,0.77,0.22999999999999998,might,undefined,You might get one.,probably,./stim/images/prob_50_1.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,25,0.87,0,0.1299999999999999,might,undefined,You might get one.,probably,./stim/images/prob_25_5.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,75,0.84,0,0.16000000000000014,might,undefined,You might get one.,probably,./stim/images/prob_75_2.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,100,0,0,1,might,undefined,You might get one.,probably,./stim/images/prob_100_3.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,60,0,0.88,0.11999999999999988,might,undefined,You might get one.,probably,./stim/images/prob_60_3.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,10,0,0.43,0.5700000000000001,might,undefined,You might get one.,probably,./stim/images/prob_10_4.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,0,0,0,1,might,undefined,You might get one.,probably,./stim/images/prob_0_2.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,90,0.93,0,0.06999999999999995,might,undefined,You might get one.,probably,./stim/images/prob_90_1.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,40,0,0.74,0.2600000000000001,might,undefined,You might get one.,probably,./stim/images/prob_40_1.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,75,0,0.73,0.27000000000000013,might,undefined,You might get one.,probably,./stim/images/prob_75_4.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,90,0.9,0,0.09999999999999998,might,undefined,You might get one.,probably,./stim/images/prob_90_3.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,60,0,0.75,0.25,might,undefined,You might get one.,probably,./stim/images/prob_60_2.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,60,0,0.8,0.19999999999999996,might,undefined,You might get one.,probably,./stim/images/prob_60_1.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,25,0,0.74,0.26,might,undefined,You might get one.,probably,./stim/images/prob_25_1.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,75,0.62,0.38,0,might,undefined,You might get one.,probably,./stim/images/prob_75_5.png,3,0,You'll probably get one.,0
10.451733333333333,window_3,10,0,0.5,0.5,might,undefined,You might get one.,probably,./stim/images/prob_10_2.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,40,0,0.79,0.20999999999999996,might,undefined,You might get one.,probably,./stim/images/prob_40_4.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,50,0,0.73,0.2699999999999999,might,undefined,You might get one.,probably,./stim/images/prob_50_5.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,75,0,0.7,0.3,might,undefined,You might get one.,probably,./stim/images/prob_75_5.png,3,0,You'll probably get one.,0
10.451733333333333,aisle_3,90,0,0.14,0.8599999999999999,might,undefined,You might get one.,probably,./stim/images/prob_90_2.png,3,0,You'll probably get one.,0
