image,workerid,reverse_sent_order,rating1,Answer.time_in_minutes,sentence2,sentence1,type,rating2,modal1,modal2,rating_other,Answer.condition,percent_window,condition
./stim/images/prob_25_1.png,0,0,0.25,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.75,probably,might,0,undefined,25,4
./stim/images/prob_40_4.png,0,0,0.08999999999999997,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.91,probably,might,0,undefined,40,4
./stim/images/prob_25_4.png,0,0,0.1,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.9,probably,might,0,undefined,25,4
./stim/images/prob_10_1.png,0,0,0.17000000000000015,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.83,probably,might,0,undefined,10,4
./stim/images/prob_100_3.png,0,0,0,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0,probably,might,1,undefined,100,4
./stim/images/prob_90_5.png,0,0,0.08999999999999997,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.91,probably,might,0,undefined,90,4
./stim/images/prob_50_1.png,0,0,0.55,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.45000000000000007,probably,might,0,undefined,50,4
./stim/images/prob_75_2.png,0,0,0.86,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.1399999999999999,probably,might,0,undefined,75,4
./stim/images/prob_90_5.png,0,0,0.9,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.09999999999999987,probably,might,0,undefined,90,4
./stim/images/prob_90_3.png,0,0,0.92,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.07999999999999996,probably,might,0,undefined,90,4
./stim/images/prob_60_1.png,0,0,0.55,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.44999999999999996,probably,might,0,undefined,60,4
./stim/images/prob_75_3.png,0,0,0.9,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.10000000000000009,probably,might,0,undefined,75,4
./stim/images/prob_50_1.png,0,0,0.42000000000000015,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.58,probably,might,0,undefined,50,4
./stim/images/prob_75_2.png,0,0,0.07,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.9299999999999999,probably,might,0,undefined,75,4
./stim/images/prob_25_2.png,0,0,0.7,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.29999999999999993,probably,might,0,undefined,25,4
./stim/images/prob_40_4.png,0,0,0.71,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.2899999999999999,probably,might,0,undefined,40,4
./stim/images/prob_50_3.png,0,0,0.86,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.14000000000000012,probably,might,0,undefined,50,4
./stim/images/prob_60_4.png,0,0,0.18,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.8200000000000001,probably,might,0,undefined,60,4
./stim/images/prob_10_3.png,0,0,0.9,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.09999999999999987,probably,might,0,undefined,10,4
./stim/images/prob_50_2.png,0,0,0.6,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.3999999999999999,probably,might,0,undefined,50,4
./stim/images/prob_0_4.png,0,0,0,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0,probably,might,1,undefined,0,4
./stim/images/prob_60_5.png,0,0,0.19999999999999996,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.8,probably,might,0,undefined,60,4
./stim/images/prob_100_1.png,0,0,0,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0,probably,might,1,undefined,100,4
./stim/images/prob_10_5.png,0,0,0.1399999999999999,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.8600000000000001,probably,might,0,undefined,10,4
./stim/images/prob_25_2.png,0,0,0.74,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.2600000000000001,probably,might,0,undefined,25,4
./stim/images/prob_90_2.png,0,0,0.08000000000000007,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.92,probably,might,0,undefined,90,4
./stim/images/prob_0_4.png,0,0,0,15.053633333333334,You might get one.,You'll probably get one.,window_4,0,probably,might,1,undefined,0,4
./stim/images/prob_40_3.png,0,0,0.06000000000000005,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.94,probably,might,0,undefined,40,4
./stim/images/prob_10_4.png,0,0,0.91,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.09000000000000008,probably,might,0,undefined,10,4
./stim/images/prob_60_5.png,0,0,0.94,15.053633333333334,You might get one.,You'll probably get one.,window_4,0.06000000000000005,probably,might,0,undefined,60,4
./stim/images/prob_75_1.png,0,0,0.24,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.76,probably,might,0,undefined,75,4
./stim/images/prob_40_4.png,0,0,0.67,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0.33000000000000007,probably,might,0,undefined,40,4
./stim/images/prob_0_2.png,0,0,0,15.053633333333334,You might get one.,You'll probably get one.,window_4,0,probably,might,1,undefined,0,4
./stim/images/prob_100_5.png,0,0,1,15.053633333333334,You might get one.,You'll probably get one.,window_4,0,probably,might,0,undefined,100,4
./stim/images/prob_0_5.png,0,0,1,15.053633333333334,You might get one.,You'll probably get one.,aisle_4,0,probably,might,0,undefined,0,4
./stim/images/prob_100_2.png,0,0,1,15.053633333333334,You might get one.,You'll probably get one.,window_4,0,probably,might,0,undefined,100,4
