rating2,sentence1,type,Answer.time_in_minutes,modal1,modal2,reverse_sent_order,image,rating_other,percent_window,workerid,Answer.condition,rating1,condition,sentence2
0.27,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_60_5.png,0.05999999999999983,60,0,undefined,0.67,1,You might get one.
0.53,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_60_4.png,0.10000000000000009,60,0,undefined,0.37,1,You might get one.
0.19,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_40_5.png,0.050000000000000044,40,0,undefined,0.76,1,You might get one.
0.67,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_40_2.png,0.04000000000000015,40,0,undefined,0.29,1,You might get one.
0,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_100_1.png,1,100,0,undefined,0,1,You might get one.
0,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_0_4.png,1,0,0,undefined,0,1,You might get one.
0,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_10_4.png,0.16000000000000003,10,0,undefined,0.84,1,You might get one.
0.3,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_40_2.png,0.18,40,0,undefined,0.51,1,You might get one.
0.29999999999999993,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_10_1.png,0.66,10,0,undefined,0.04,1,You might get one.
0,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_100_4.png,1,100,0,undefined,0,1,You might get one.
0.39,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_60_4.png,0.13,60,0,undefined,0.48,1,You might get one.
0,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_0_1.png,1,0,0,undefined,0,1,You might get one.
0.12,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_25_1.png,0.05999999999999994,25,0,undefined,0.82,1,You might get one.
-2.220446049250313e-16,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_0_1.png,0.13000000000000012,0,0,undefined,0.87,1,You might get one.
0.1499999999999999,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_25_5.png,0.04,25,0,undefined,0.81,1,You might get one.
0.35,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_50_5.png,0.07,50,0,undefined,0.58,1,You might get one.
0.18999999999999995,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_25_2.png,0,25,0,undefined,0.81,1,You might get one.
0.62,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_50_3.png,0.1399999999999999,50,0,undefined,0.24,1,You might get one.
0.6,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_25_1.png,0.29000000000000015,25,0,undefined,0.11,1,You might get one.
0.64,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_75_1.png,0.15000000000000002,75,0,undefined,0.21,1,You might get one.
0,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_90_5.png,0.14,90,0,undefined,0.86,1,You might get one.
0.5,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_90_3.png,0.49,90,0,undefined,0.01,1,You might get one.
0,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_100_4.png,0.51,100,0,undefined,0.4900000000000001,1,You might get one.
0,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_0_1.png,1,0,0,undefined,0,1,You might get one.
0.22999999999999998,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_40_3.png,0,40,0,undefined,0.77,1,You might get one.
0.49,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_75_4.png,0,75,0,undefined,0.51,1,You might get one.
0.64,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_60_3.png,0,60,0,undefined,0.3600000000000001,1,You might get one.
0.45,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_10_5.png,0.5499999999999999,10,0,undefined,0,1,You might get one.
0,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_100_2.png,1,100,0,undefined,0,1,You might get one.
0,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_90_2.png,0,90,0,undefined,1,1,You might get one.
0.13,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_10_4.png,0,10,0,undefined,0.87,1,You might get one.
0.14000000000000012,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_75_1.png,0,75,0,undefined,0.86,1,You might get one.
0.7599999999999999,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_50_1.png,0,50,0,undefined,0.24,1,You might get one.
1,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_90_1.png,0,90,0,undefined,0,1,You might get one.
0.17000000000000015,You'll probably get one.,aisle_1,25.74185,probably,might,0,./stim/images/prob_75_3.png,0,75,0,undefined,0.83,1,You might get one.
0.77,You'll probably get one.,window_1,25.74185,probably,might,0,./stim/images/prob_50_3.png,0.13000000000000012,50,0,undefined,0.1,1,You might get one.
